"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1136090401109094400","https://twitter.com/TheSpec/status/1136090401109094400","Online shamers attacked Tori Spelling over her bikini pic. Hubby Dean McDermott stepped in 
https://t.co/JVDAkEgzdj","2019-06-05 02:00 +0000","5458.0","506.0","0.09270795163063393","0.0","1.0","3.0","4.0","474.0","0.0","24.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136082761205395456","https://twitter.com/TheSpec/status/1136082761205395456","THIS DAY IN HISTORY: On June 4, 1906, the first patients were admitted to Hamilton's just-opened sanatorium on the west Mountain #HamOnt 
https://t.co/PnKwkHAT4k","2019-06-05 01:30 +0000","3402.0","110.0","0.03233392122281011","2.0","2.0","5.0","0.0","93.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136075346636410881","https://twitter.com/TheSpec/status/1136075346636410881","Almost seven years after he was convicted for running a $50-million Ponzi scheme, Toronto's self-styled ""Chinese Warren Buffett,"" Weizhen Tang, is as defiant as ever.
https://t.co/OqEqN5VuHX","2019-06-05 01:00 +0000","3034.0","32.0","0.01054713249835201","0.0","1.0","2.0","1.0","25.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136067683722649600","https://twitter.com/TheSpec/status/1136067683722649600","If the sugar levels tip over into the danger zone, doctors often prescribe medication
https://t.co/p7Lced5SQZ","2019-06-05 00:30 +0000","5297.0","75.0","0.014158957900698509","2.0","4.0","8.0","0.0","61.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136060269413720064","https://twitter.com/TheSpec/status/1136060269413720064","They say more than 1,000 onlookers surrounded the grave as they lowered the 25-year-old woman's body in what became one of the city's most sensational homicide investigations.
https://t.co/AWUwVnywiR","2019-06-05 00:00 +0000","4052.0","121.0","0.029861796643632775","2.0","0.0","2.0","7.0","106.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136052579702628353","https://twitter.com/TheSpec/status/1136052579702628353","You still have time to make yourself — or, at least, your garden — a neighbourhood celebrity by acting as a host during Hamilton Spectator Open Garden Week.
https://t.co/b01XotWZVz","2019-06-04 23:30 +0000","2511.0","15.0","0.005973715651135006","0.0","0.0","2.0","2.0","5.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136045057545576448","https://twitter.com/TheSpec/status/1136045057545576448","The ghosts of Buckingham Palace?
https://t.co/MYItn1bWzW","2019-06-04 23:00 +0000","2596.0","60.0","0.023112480739599383","1.0","0.0","3.0","1.0","51.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136037493097357312","https://twitter.com/TheSpec/status/1136037493097357312","The current GO service to Niagara consists of a single train which leaves Niagara Falls at the ungodly hour of 5:19 in the morning, and the same single train coming back in the evening, leaving downtown Toronto at 5:15 p.m.
https://t.co/t7STseSdQH https://t.co/UHTJTJE1qO","2019-06-04 22:30 +0000","5848.0","196.0","0.033515731874145006","1.0","5.0","3.0","1.0","88.0","0.0","14.0","0.0","0","0","0","0","0","84","84","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136031170695716865","https://twitter.com/TheSpec/status/1136031170695716865","REVIEW: Diane Galambos says the best dining experience offered at Hamiton's Paper Crane is omakase — leaving it up to the chef to serve you 7 to 10 courses of his creations.
#HamOnt #sushi
https://t.co/aGn4LEEXqV","2019-06-04 22:05 +0000","2735.0","45.0","0.016453382084095063","1.0","0.0","4.0","1.0","36.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1136022421901889536","https://twitter.com/TheSpec/status/1136022421901889536","Councillors recently approved a plan to help boost #HamOnt's fashion industry, along with the film and music sectors. According to the city these three industries have the most potential for improving the city's economic growth. Story by @EmmaatTheSpec 
https://t.co/Xt0c3lFGqB","2019-06-04 21:30 +0000","3527.0","38.0","0.010774028919761838","5.0","2.0","6.0","0.0","23.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
